District,School,Subject,Scored,County,Year,Baseline,Score
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,14,Columbia,2017,Proficient,28.6
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,14,Columbia,2017,Proficient,35.7
SUSQ-CYBER CS,SUSQ-CYBER CS,English,14,Columbia,2017,Proficient,50
DANVILLE AREA SD,DANVILLE AREA SHS,Math,135,Montour,2017,Proficient,38.5
DANVILLE AREA SD,DANVILLE AREA SHS,Science,140,Montour,2017,Proficient,28.6
DANVILLE AREA SD,DANVILLE AREA SHS,English,142,Montour,2017,Proficient,66.9
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,40,Columbia,2017,Basic,7.5
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,39,Columbia,2017,Basic,7.7
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,40,Columbia,2017,Basic,15
BERWICK AREA SD,BERWICK AREA HS,Math,157,Columbia,2017,Basic,15.3
BERWICK AREA SD,BERWICK AREA HS,Science,156,Columbia,2017,Basic,16.7
BERWICK AREA SD,BERWICK AREA HS,English,155,Columbia,2017,Basic,18.7
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,109,Columbia,2017,Basic,12.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,109,Columbia,2017,Basic,15.6
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,110,Columbia,2017,Basic,13.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,122,Columbia,2017,Basic,10.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,125,Columbia,2017,Basic,11.2
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,125,Columbia,2017,Basic,9.6
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,152,Columbia,2017,Basic,38.8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,152,Columbia,2017,Basic,44.1
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,152,Columbia,2017,Basic,38.2
