Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
English,5,76,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,18.4,14
Math,3,70,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,37.1,26
Math,4,74,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,35.1,26
Math,5,76,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,43.4,33
Science,4,74,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,45.9,34
English,3,21,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,42.9,10
English,4,16,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,43.8,8
English,5,20,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,25,5
Math,3,21,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,61.9,13
Math,4,16,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,12.5,2
Math,5,20,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,50,10
Science,4,16,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,56.3,10
English,6,133,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,21.8,29
English,7,139,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,17.3,25
English,8,112,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,21.4,24
Math,6,133,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,18,24
Math,7,139,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,7.2,11
Math,8,112,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,4.5,6
Science,8,112,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,31.3,36
