SchoolNum,District,School,Subject,Grade,Scored,County,Year,Baseline,Score
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,School Total,663,Columbia,2016,Proficient,26.8
000006808,BERWICK AREA SD,BERWICK AREA MS,Science,8,203,Columbia,2016,Proficient,33.5
000006808,BERWICK AREA SD,BERWICK AREA MS,Science,School Total,203,Columbia,2016,Proficient,33.5
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,3,28,Columbia,2016,Proficient,53.6
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,4,35,Columbia,2016,Proficient,34.3
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,5,26,Columbia,2016,Proficient,50
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,School Total,90,Columbia,2016,Proficient,44.4
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,3,28,Columbia,2016,Proficient,32.1
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,4,36,Columbia,2016,Proficient,30.6
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,5,26,Columbia,2016,Proficient,26.9
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,School Total,90,Columbia,2016,Proficient,30
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Science,4,36,Columbia,2016,Proficient,47.2
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Science,School Total,36,Columbia,2016,Proficient,47.2
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,3,36,Columbia,2016,Proficient,66.7
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,4,40,Columbia,2016,Proficient,32.5
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,5,37,Columbia,2016,Proficient,59.5
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,School Total,113,Columbia,2016,Proficient,52.2
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,3,36,Columbia,2016,Proficient,38.9
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,4,40,Columbia,2016,Proficient,27.5
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,5,37,Columbia,2016,Proficient,32.4
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,School Total,113,Columbia,2016,Proficient,32.7
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Science,4,40,Columbia,2016,Proficient,37.5
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Science,School Total,40,Columbia,2016,Proficient,37.5
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,3,75,Columbia,2016,Proficient,44
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,4,63,Columbia,2016,Proficient,39.7
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,5,68,Columbia,2016,Proficient,54.4
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,School Total,206,Columbia,2016,Proficient,46.1
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,3,74,Columbia,2016,Proficient,28.4
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,4,63,Columbia,2016,Proficient,31.7
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,5,68,Columbia,2016,Proficient,38.2
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,School Total,205,Columbia,2016,Proficient,32.7
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Science,4,63,Columbia,2016,Proficient,47.6
